P,TIE,Va,IQE
5.858737298,48.98286449,2.054472764,79
6.888911089,43.25547011,2.08046953,83
6.501064537,44.86090936,2.094710579,59
5.738617481,46.09971744,2.00219342,80
5.099535193,46.74302961,1.960458167,94
7.017946162,43.26071309,2.077517448,72
5.156754956,46.81762607,1.962318841,97
5.843956044,43.54170402,1.981018981,95
5.813559322,43.94143126,1.968544367,95
5.756407703,46.42553942,1.975,59
6.687656172,44.40914915,2.133833083,58
7.043090243,46.42741969,2.200699301,2
5.478443114,43.38861324,1.897704591,95
7.006387225,48.33588109,2.323902196,2
7.053173812,45.76480203,2.149351944,26
6.425120773,46.50682132,2.144877561,50
7.619523571,46.06452226,2.216291854,13.6
6.589210789,43.52975596,2.02042957,80
6.808698539,45.80972239,2.121812749,44
5.675551556,45.07290002,2.036982603,91
7.032168995,46.37576039,2.186626747,7
6.947338656,46.39132925,2.182285429,20
7.047638057,46.41208775,2.199700599,14
6.962807718,46.42765662,2.195359281,30
7.052176803,46.39678638,2.198703888,10
7.047638057,46.41208775,2.199700599,17
